combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
5109,1,"high SEP, low edu",0.45,0.87,0.39,5109,1.0066288713269258,1.0626828811768685,1.1149113432394615,20-40,0-20,40-60,1.001782773654284,1.0027807410358158
5110,1,"high SEP, low edu",0.45,0.88,0.4,5110,1.0062282457567693,1.0855590155592505,1.238577150927894,0-20,0-20,60-80,1.0021178674039075,1.0026940752430218
5115,1,"high SEP, low edu",0.45,0.88,0.4,5115,1.0065094321282455,1.2144993875747905,0.9574718583358172,20-40,40-60,0-20,1.0026005438670065,1.002592754226752
5120,1,"high SEP, low edu",0.45,0.96,0.44,5120,1.0065348579049946,1.1693566191149538,1.0130328793046952,20-40,40-60,20-40,1.0018843737554897,1.002869799562759
5125,1,"high SEP, low edu",0.45,0.86,0.39,5125,1.0065048389710365,1.2068044019064936,1.055955523866427,20-40,40-60,20-40,1.001785143439468,1.0026669831583055
5126,1,"high SEP, low edu",0.45,0.81,0.37,5126,1.0057841917661932,1.2651766287636088,1.1446428624017015,0-20,60-80,40-60,1.0020776717499824,1.002623191093752
5134,1,"high SEP, low edu",0.45,0.98,0.44,5134,1.006420454147833,1.3634221125956905,1.087811414679884,0-20,80-100,40-60,1.0019733435245302,1.002669055043588
5148,1,"high SEP, low edu",0.45,0.93,0.42,5148,1.0072489968360747,1.3138540183497227,1.172446229999602,60-80,80-100,60-80,1.0017275752248933,1.0029547377465855
5155,1,"high SEP, low edu",0.45,0.86,0.39,5155,1.0060850571880695,1.2650988898854552,0.9634314381258676,0-20,60-80,0-20,1.0019520784234524,1.0026669920372988
5163,1,"high SEP, low edu",0.45,0.89,0.4,5163,1.0068725417072673,1.1072746767634525,1.236975338575191,40-60,20-40,60-80,1.0016663608685017,1.003155947644417
5165,1,"high SEP, low edu",0.45,0.89,0.41,5165,1.0059486030648888,1.0806434246280567,1.118171131008512,0-20,0-20,40-60,1.0016731748546686,1.0025177502277212
5168,1,"high SEP, low edu",0.45,0.95,0.43,5168,1.0063992136310829,1.2129119824759305,0.98438557702677,0-20,40-60,0-20,1.0017985394109343,1.0028391486658474
5169,1,"high SEP, low edu",0.45,0.88,0.4,5169,1.0063582913519435,1.2463115625585124,1.1213063337557123,0-20,60-80,40-60,1.0016863721304567,1.00297814133283
5171,1,"high SEP, low edu",0.45,0.87,0.39,5171,1.006307788764039,1.1248714149095236,1.114446672163511,0-20,20-40,40-60,1.002267567734442,1.0027351400986406
5176,1,"high SEP, low edu",0.45,0.9,0.41,5176,1.0061080606096933,1.244504417193972,1.012112648132748,0-20,60-80,20-40,1.0016804235613428,1.002589003373261
5181,1,"high SEP, low edu",0.45,0.97,0.44,5181,1.0061859111335028,1.307408747336532,0.973246935588152,0-20,80-100,0-20,1.001771465728777,1.0026333634501965
5187,1,"high SEP, low edu",0.45,0.9,0.41,5187,1.0064393271874108,1.307874309152531,0.9211526273369548,0-20,80-100,0-20,1.001831597011102,1.002558146595105
5189,1,"high SEP, low edu",0.45,0.93,0.42,5189,1.0071527657764443,0.9570678495568932,1.1208125126853847,60-80,0-20,40-60,1.002628218331134,1.0027561482031249
5190,1,"high SEP, low edu",0.45,0.84,0.38,5190,1.0065981520817409,1.0288078735133008,1.0157305919746766,20-40,0-20,20-40,1.0018834571781654,1.0026548376270814
5193,1,"high SEP, low edu",0.45,0.8,0.36,5193,1.006889961517745,1.2064374596338654,1.0215027810162405,40-60,40-60,20-40,1.0018095352632703,1.0030688291324612
5210,1,"high SEP, low edu",0.45,1.0,0.45,5210,1.007037255730847,1.095699927319138,1.0064295973445965,40-60,0-20,20-40,1.0029139930124862,1.0025807511517228
5212,1,"high SEP, low edu",0.45,0.87,0.39,5212,1.0072735349260835,1.2039268772249416,0.9533132281412257,60-80,40-60,0-20,1.0017511872955596,1.002923890610753
5214,1,"high SEP, low edu",0.45,0.79,0.36,5214,1.0061839405132744,1.0236607795587878,1.197904760012096,0-20,0-20,60-80,1.0019001248032553,1.0026728644240188
5218,1,"high SEP, low edu",0.45,0.9,0.41,5218,1.0064504156880876,1.2303635765481222,1.146997232680215,0-20,60-80,40-60,1.0019925645199026,1.0027995131281575
5220,1,"high SEP, low edu",0.45,0.9,0.41,5220,1.006710078893679,1.2272101590063256,1.244683869273233,20-40,60-80,80-100,1.0016945187234996,1.0029254941947254
5224,1,"high SEP, low edu",0.45,0.82,0.37,5224,1.006448801301235,1.0871569371224004,0.983474745649464,0-20,0-20,0-20,1.0018981639728055,1.0026461740263135
5230,1,"high SEP, low edu",0.45,0.91,0.41,5230,1.0069206737809036,1.009430312332336,0.9872176452278298,40-60,0-20,0-20,1.002138385107116,1.0027755554374995
5231,1,"high SEP, low edu",0.45,0.89,0.41,5231,1.0069165576723162,1.143288236148257,1.049313063185053,40-60,20-40,20-40,1.0018415908135136,1.002672765112013
5232,1,"high SEP, low edu",0.45,1.0,0.45,5232,1.0069128461077508,1.1120102369506024,1.178214616464018,40-60,20-40,60-80,1.0017154098753456,1.0027264471545518
5235,1,"high SEP, low edu",0.45,0.89,0.4,5235,1.0065268380016283,1.1979832817741367,1.1114624986773909,20-40,40-60,40-60,1.0019592223242022,1.0027331030465765
5242,1,"high SEP, low edu",0.45,0.95,0.43,5242,1.0068530035448044,1.170302713943453,0.9833755860249462,40-60,40-60,0-20,1.0023845688639836,1.0026057443041771
5251,1,"high SEP, low edu",0.45,0.86,0.39,5251,1.0064991653926352,1.1600762790038743,1.108125850682569,20-40,20-40,40-60,1.0019564982080675,1.00269903555523
5253,1,"high SEP, low edu",0.45,0.9,0.41,5253,1.0070107407463038,1.163355402684489,0.974105279609847,40-60,20-40,0-20,1.0020714993774678,1.0026796720189877
5254,1,"high SEP, low edu",0.45,0.87,0.4,5254,1.0066051267341758,1.2035289542914738,1.1219918439763863,20-40,40-60,40-60,1.0016649467810317,1.00275249326637
5265,1,"high SEP, low edu",0.45,0.82,0.37,5265,1.0074334975895305,1.097617040043243,1.1893418106931597,60-80,0-20,60-80,1.0017430863120091,1.0028508004025305
5267,1,"high SEP, low edu",0.45,0.95,0.43,5267,1.0063506207224022,1.2328892743626323,1.1145132601693946,0-20,60-80,40-60,1.00201898237688,1.0026273812399469
5276,1,"high SEP, low edu",0.45,0.91,0.41,5276,1.0065311535230093,1.094285640743588,1.0619001025901116,20-40,0-20,20-40,1.0022166705439477,1.0026777158632592
5280,1,"high SEP, low edu",0.45,0.93,0.42,5280,1.0069292915854249,1.1750190646348386,0.9968319552408832,40-60,40-60,0-20,1.002278342943307,1.002721292500301
5284,1,"high SEP, low edu",0.45,0.99,0.45,5284,1.0068212902461242,1.242144580548121,1.1216136931837708,40-60,60-80,40-60,1.00165826012615,1.0027499973701277
5287,1,"high SEP, low edu",0.45,0.94,0.43,5287,1.0063958532017545,1.0221125225091094,1.1424828674144911,0-20,0-20,40-60,1.0019538514238953,1.0025753532315056
5289,1,"high SEP, low edu",0.45,0.97,0.44,5289,1.0068101940608087,1.3267180538775385,1.1045586506679812,40-60,80-100,40-60,1.0017223963843291,1.0027404023269042
5293,1,"high SEP, low edu",0.45,0.82,0.37,5293,1.0067700306346146,1.1778974296823068,1.0017278043778994,20-40,40-60,0-20,1.002304504347822,1.0027098449603964
5300,1,"high SEP, low edu",0.45,0.82,0.37,5300,1.0060621395079208,1.180858368203224,1.124908055669826,0-20,40-60,40-60,1.0018673647292295,1.0025671452126053
5303,1,"high SEP, low edu",0.45,0.97,0.44,5303,1.0072640047863513,1.2739295818830088,0.9418519191458644,60-80,60-80,0-20,1.002611374872972,1.002756360044662
5305,1,"high SEP, low edu",0.45,0.84,0.38,5305,1.0066212821004803,1.1241313541177649,1.014534295795416,20-40,20-40,20-40,1.0016853196306197,1.0028541766211216
5307,1,"high SEP, low edu",0.45,0.88,0.4,5307,1.0072891067470715,1.0712210556880597,1.2386739558338384,60-80,0-20,60-80,1.0020089653678823,1.003163504066123
5308,1,"high SEP, low edu",0.45,0.99,0.45,5308,1.007138042624549,1.206737590494417,1.0464108811900614,60-80,40-60,20-40,1.0017135669830517,1.0028639739669103
5312,1,"high SEP, low edu",0.45,0.99,0.45,5312,1.0065848641927968,1.2459170990448825,1.1863038695077683,20-40,60-80,60-80,1.002328163241129,1.002860378759871
5314,1,"high SEP, low edu",0.45,0.97,0.44,5314,1.0063311274557485,1.076315567081079,0.969663027893858,0-20,0-20,0-20,1.0017897224595924,1.0025221681350576
